subject,excluded,img,EmoRating,emotionality,attn,study,bad_trial,IA_name,FG_time,BG_time,FG_propo
105,0,CompNeu002.jpg,1.0,neu,BG,study2,0,CompNeu002.ias,0.43636363636363634,0.5636363636363637,0.43636363636363634
105,0,2717ps.jpg,3.0,emo,FG,study2,0,2717ps.ias,0.34545454545454546,0.21818181818181814,0.6129032258064516
105,0,9425ps.jpg,2.0,emo,BG,study2,0,9425ps.ias,0.5370370370370371,0.12962962962962954,0.8055555555555557
105,0,CompNeu041.jpg,1.0,neu,BG,study2,0,CompNeu041.ias,0.627906976744186,0.2325581395348837,0.7297297297297297
105,0,6555ps.jpg,4.0,emo,FG,study2,0,6555ps.ias,0.4107142857142857,0.2678571428571429,0.6052631578947368
105,0,H015ps.jpg,2.0,emo,FG,study2,0,H015ps.ias,0.2727272727272727,0.2545454545454545,0.5172413793103449
105,0,CompNeu040.jpg,1.0,neu,FG,study2,0,CompNeu040.ias,0.5,0.1607142857142857,0.7567567567567568
105,0,H099ps.jpg,2.0,emo,BG,study2,0,H099ps.ias,0.29508196721311475,0.4098360655737705,0.41860465116279066
105,0,3181ps.jpg,5.0,emo,FG,study2,0,3181ps.ias,0.6065573770491803,0.14754098360655732,0.8043478260869565
105,0,CompNeu024.jpg,1.0,neu,BG,study2,0,CompNeu024.ias,0.21428571428571427,0.2857142857142857,0.42857142857142855
105,0,CompNeu030.jpg,2.0,neu,FG,study2,0,CompNeu030.ias,0.7222222222222222,0.2222222222222222,0.7647058823529412
105,0,H064ps.jpg,5.0,emo,BG,study2,0,H064ps.ias,0.48148148148148145,0.3703703703703704,0.5652173913043478
105,0,2375ps.jpg,2.0,emo,BG,study2,0,2375ps.ias,0.5892857142857143,0.3392857142857143,0.6346153846153846
105,0,6315ps.jpg,4.0,emo,FG,study2,0,6315ps.ias,0.2982456140350877,0.24561403508771934,0.5483870967741935
105,0,CompNeu006.jpg,1.0,neu,FG,study2,0,CompNeu006.ias,0.5178571428571429,0.25,0.6744186046511628
105,0,Faces_172ps.jpg,5.0,emo,BG,study2,0,Faces_172ps.ias,0.6981132075471698,0.1132075471698114,0.8604651162790696
105,0,H087ps.jpg,3.0,emo,FG,study2,0,H087ps.ias,0.24074074074074073,0.2037037037037037,0.5416666666666666
105,0,CompNeu013.jpg,1.0,neu,BG,study2,0,CompNeu013.ias,0.9152542372881356,0.03389830508474578,0.9642857142857143
105,0,2718ps.jpg,1.0,emo,BG,study2,0,2718ps.ias,0.7368421052631579,0.24561403508771928,0.75
105,0,7361ps.jpg,4.0,emo,FG,study2,0,7361ps.ias,0.8793103448275862,0.051724137931034475,0.9444444444444444
105,0,CompNeu011.jpg,1.0,neu,BG,study2,0,CompNeu011.ias,0.7241379310344828,0.13793103448275856,0.8400000000000001
105,0,6821ps.jpg,2.0,emo,BG,study2,0,6821ps.ias,0.43103448275862066,0.4137931034482759,0.510204081632653
105,0,H025ps.jpg,,emo,FG,study2,0,H025ps.ias,0.3442622950819672,0.49180327868852464,0.4117647058823529
105,0,CompNeu046.jpg,2.0,neu,FG,study2,0,CompNeu046.ias,0.5517241379310345,0.13793103448275867,0.7999999999999999
105,0,H037ps.jpg,2.0,emo,BG,study2,0,H037ps.ias,0.47368421052631576,0.31578947368421056,0.6
105,0,CompNeu019.jpg,2.0,neu,FG,study2,0,CompNeu019.ias,0.5,0.23076923076923073,0.6842105263157895
105,0,2730ps.jpg,5.0,emo,FG,study2,0,2730ps.ias,0.36666666666666664,0.23333333333333334,0.611111111111111
105,0,CompNeu029.jpg,1.0,neu,BG,study2,0,CompNeu029.ias,0.32075471698113206,0.43396226415094347,0.42499999999999993
105,0,H084ps.jpg,2.0,emo,BG,study2,0,H084ps.ias,0.36363636363636365,0.40909090909090906,0.4705882352941177
105,0,Objects_003ps.jpg,1.0,emo,FG,study2,0,Objects_003ps.ias,0.32075471698113206,0.33962264150943394,0.4857142857142857
105,0,Faces_147ps.jpg,2.0,emo,BG,study2,0,Faces_147ps.ias,0.39285714285714285,0.35714285714285715,0.5238095238095238
105,0,CompNeu058.jpg,1.0,neu,BG,study2,0,CompNeu058.ias,0.75,0.02083333333333337,0.9729729729729729
105,0,CompNeu012.jpg,1.0,neu,FG,study2,0,CompNeu012.ias,0.6818181818181818,0.2727272727272728,0.7142857142857142
105,0,H041ps.jpg,5.0,emo,FG,study2,0,H041ps.ias,0.35714285714285715,0.49999999999999994,0.4166666666666667
105,0,230ps.jpg,3.0,emo,BG,study2,0,230ps.ias,0.8545454545454545,0.018181818181818188,0.9791666666666666
105,0,CompNeu034.jpg,1.0,neu,BG,study2,0,CompNeu034.ias,0.3157894736842105,0.4736842105263158,0.39999999999999997
105,0,People_070ps.jpg,3.0,emo,FG,study2,0,People_070ps.ias,0.3076923076923077,0.6538461538461539,0.32
105,0,H036ps.jpg,4.0,emo,BG,study2,0,H036ps.ias,0.3148148148148148,0.6666666666666667,0.32075471698113206
105,0,2095ps.jpg,3.0,emo,FG,study2,0,2095ps.ias,0.7857142857142857,0.1428571428571429,0.8461538461538461
105,0,3500ps.jpg,5.0,emo,BG,study2,0,3500ps.ias,0.5789473684210527,0.07017543859649122,0.8918918918918919
105,0,CompNeu020.jpg,1.0,neu,FG,study2,0,CompNeu020.ias,0.6428571428571429,0.1785714285714285,0.782608695652174
105,0,2710ps.jpg,2.0,emo,FG,study2,0,2710ps.ias,0.7777777777777778,0.07407407407407407,0.9130434782608696
105,0,3225ps.jpg,5.0,emo,BG,study2,0,3225ps.ias,0.6140350877192983,0.38596491228070173,0.6140350877192983
105,0,CompNeu014.jpg,1.0,neu,BG,study2,0,CompNeu014.ias,0.8103448275862069,0.13793103448275867,0.8545454545454545
105,0,3530ps.jpg,4.0,emo,FG,study2,0,3530ps.ias,0.7068965517241379,0.15517241379310343,0.8200000000000001
105,0,CompNeu001.jpg,1.0,neu,BG,study2,0,CompNeu001.ias,0.3275862068965517,0.5344827586206896,0.38
105,0,2750ps.jpg,2.0,emo,BG,study2,0,2750ps.ias,0.48214285714285715,0.26785714285714285,0.6428571428571429
105,0,215ps.jpg,1.0,emo,FG,study2,0,215ps.ias,0.6610169491525424,0.3389830508474576,0.6610169491525424
105,0,CompNeu056.jpg,1.0,neu,FG,study2,0,CompNeu056.ias,0.5178571428571429,0.375,0.5800000000000001
105,0,6243ps.jpg,1.0,emo,BG,study2,0,6243ps.ias,0.4,0.4545454545454545,0.4680851063829788
105,0,1201ps.jpg,3.0,emo,BG,study2,0,1201ps.ias,0.34615384615384615,0.6153846153846154,0.36
105,0,CompNeu042.jpg,1.0,neu,FG,study2,0,CompNeu042.ias,0.7543859649122807,0.1929824561403508,0.7962962962962964
105,0,3550ps.jpg,2.0,emo,BG,study2,0,3550ps.ias,0.5,0.5,0.5
105,0,MAPS338ps.jpg,4.0,emo,FG,study2,0,MAPS338ps.ias,0.2,0.7166666666666666,0.21818181818181823
105,0,H038ps.jpg,4.0,emo,FG,study2,0,H038ps.ias,0.5789473684210527,0.36842105263157887,0.6111111111111112
105,0,H053ps.jpg,1.0,emo,BG,study2,0,H053ps.ias,0.75,0.1923076923076923,0.7959183673469388
105,0,Faces_011ps.jpg,3.0,emo,FG,study2,0,Faces_011ps.ias,0.6923076923076923,0.13461538461538458,0.8372093023255814
105,0,3230ps.jpg,5.0,emo,FG,study2,0,3230ps.ias,0.9833333333333333,0.01666666666666672,0.9833333333333333
105,0,CompNeu057.jpg,1.0,neu,FG,study2,0,CompNeu057.ias,0.36065573770491804,0.32786885245901637,0.5238095238095238
105,0,Faces_025ps.jpg,3.0,emo,FG,study2,0,Faces_025ps.ias,0.8214285714285714,0.1071428571428572,0.8846153846153846
105,0,CompNeu038.jpg,1.0,neu,FG,study2,0,CompNeu038.ias,0.5454545454545454,0.23636363636363644,0.6976744186046511
105,0,9254ps.jpg,5.0,emo,FG,study2,0,9254ps.ias,0.5344827586206896,0.39655172413793105,0.5740740740740741
105,0,H083ps.jpg,2.0,emo,BG,study2,0,H083ps.ias,0.8928571428571429,0.0357142857142857,0.9615384615384616
105,0,6313ps.jpg,3.0,emo,BG,study2,0,6313ps.ias,0.7777777777777778,0.2222222222222222,0.7777777777777778
105,0,CompNeu007.jpg,1.0,neu,BG,study2,0,CompNeu007.ias,0.0,0.36363636363636365,0.0
105,0,1275ps.jpg,2.0,emo,FG,study2,0,1275ps.ias,0.3333333333333333,0.5740740740740742,0.36734693877551017
105,0,CompNeu045.jpg,1.0,neu,BG,study2,0,CompNeu045.ias,0.13559322033898305,0.7966101694915254,0.14545454545454545
105,0,H122ps.jpg,3.0,emo,BG,study2,0,H122ps.ias,0.5689655172413793,0.31034482758620685,0.6470588235294118
105,0,CompNeu017.jpg,2.0,neu,FG,study2,0,CompNeu017.ias,0.7090909090909091,0.23636363636363633,0.75
105,0,6836ps.jpg,1.0,emo,BG,study2,0,6836ps.ias,0.20967741935483872,0.6612903225806451,0.24074074074074076
105,0,214ps.jpg,3.0,emo,FG,study2,0,214ps.ias,0.6721311475409836,0.016393442622950838,0.9761904761904762
105,0,CompNeu026.jpg,1.0,neu,BG,study2,0,CompNeu026.ias,0.7719298245614035,0.1228070175438597,0.8627450980392156
105,0,9428ps.jpg,4.0,emo,FG,study2,0,9428ps.ias,0.35714285714285715,0.5357142857142858,0.3999999999999999
105,0,2691ps.jpg,1.0,emo,BG,study2,0,2691ps.ias,0.7735849056603774,0.2075471698113207,0.7884615384615385
105,0,2700ps.jpg,2.0,emo,FG,study2,0,2700ps.ias,0.7288135593220338,0.16949152542372892,0.8113207547169811
105,0,CompNeu050.jpg,1.0,neu,FG,study2,0,CompNeu050.ias,0.7833333333333333,0.18333333333333335,0.8103448275862069
105,0,Faces_149ps.jpg,3.0,emo,BG,study2,0,Faces_149ps.ias,0.3269230769230769,0.5576923076923077,0.3695652173913044
105,0,H059ps.jpg,1.0,emo,BG,study2,0,H059ps.ias,0.6666666666666666,0.20370370370370372,0.7659574468085106
105,0,CompNeu031.jpg,1.0,neu,FG,study2,0,CompNeu031.ias,0.3888888888888889,0.18518518518518517,0.6774193548387097
105,0,3101ps.jpg,4.0,emo,BG,study2,0,3101ps.ias,0.6101694915254238,0.38983050847457623,0.6101694915254238
105,0,8230ps.jpg,4.0,emo,FG,study2,0,8230ps.ias,0.7241379310344828,0.10344827586206895,0.875
105,0,9415ps.jpg,2.0,emo,FG,study2,0,9415ps.ias,0.6206896551724138,0.2068965517241379,0.75
105,0,CompNeu060.jpg,1.0,neu,BG,study2,0,CompNeu060.ias,0.34,0.56,0.37777777777777777
105,0,6415ps.jpg,4.0,emo,BG,study2,0,6415ps.ias,0.5178571428571429,0.2321428571428571,0.6904761904761906
105,0,CompNeu004.jpg,1.0,neu,FG,study2,0,CompNeu004.ias,0.43103448275862066,0.5172413793103449,0.45454545454545453
105,0,3015ps.jpg,5.0,emo,BG,study2,0,3015ps.ias,0.14814814814814814,0.7407407407407407,0.16666666666666666
105,0,1200ps.jpg,1.0,emo,BG,study2,0,1200ps.ias,0.3684210526315789,0.631578947368421,0.3684210526315789
105,0,2981ps.jpg,5.0,emo,FG,study2,0,2981ps.ias,0.48333333333333334,0.5166666666666666,0.48333333333333334
105,0,H034ps.jpg,3.0,emo,FG,study2,0,H034ps.ias,0.9344262295081968,0.032786885245901565,0.9661016949152543
105,0,CompNeu054.jpg,1.0,neu,BG,study2,0,CompNeu054.ias,0.3333333333333333,0.1833333333333334,0.6451612903225805
106,0,CompNeu002.jpg,1.0,neu,BG,study2,0,CompNeu002.ias,0.3770491803278688,0.6229508196721312,0.3770491803278688
106,0,H038ps.jpg,5.0,emo,FG,study2,0,H038ps.ias,0.6222222222222222,0.37777777777777777,0.6222222222222222
106,0,MAPS338ps.jpg,5.0,emo,FG,study2,0,MAPS338ps.ias,0.6744186046511628,0.32558139534883723,0.6744186046511628
106,0,3550ps.jpg,5.0,emo,BG,study2,0,3550ps.ias,0.6176470588235294,0.38235294117647056,0.6176470588235294
106,0,CompNeu042.jpg,1.0,neu,FG,study2,0,CompNeu042.ias,0.45528455284552843,0.5447154471544715,0.45528455284552843
106,0,1201ps.jpg,1.0,emo,BG,study2,0,1201ps.ias,0.7364341085271318,0.26356589147286824,0.7364341085271318
106,0,6243ps.jpg,2.0,emo,BG,study2,0,6243ps.ias,0.31654676258992803,0.6834532374100719,0.31654676258992803
106,0,CompNeu056.jpg,1.0,neu,FG,study2,0,CompNeu056.ias,0.46616541353383456,0.4736842105263158,0.496
106,0,215ps.jpg,3.0,emo,FG,study2,0,215ps.ias,1.0,0.0,1.0
106,0,2750ps.jpg,2.0,emo,BG,study2,0,2750ps.ias,0.8048780487804879,0.19512195121951215,0.8048780487804879
106,0,CompNeu001.jpg,1.0,neu,BG,study2,0,CompNeu001.ias,0.42424242424242425,0.5757575757575757,0.42424242424242425
106,0,3530ps.jpg,3.0,emo,FG,study2,0,3530ps.ias,0.6917293233082706,0.30827067669172936,0.6917293233082706
106,0,CompNeu014.jpg,1.0,neu,BG,study2,0,CompNeu014.ias,0.6050420168067226,0.2941176470588236,0.6728971962616822
106,0,3225ps.jpg,5.0,emo,BG,study2,0,3225ps.ias,0.7099236641221374,0.2748091603053435,0.7209302325581395
106,0,2710ps.jpg,,emo,FG,study2,0,2710ps.ias,0.5538461538461539,0.4461538461538461,0.5538461538461539
106,0,H053ps.jpg,1.0,emo,BG,study2,0,H053ps.ias,0.9555555555555556,0.0444444444444444,0.9555555555555556
106,0,CompNeu020.jpg,,neu,FG,study2,0,CompNeu020.ias,0.6521739130434783,0.23188405797101452,0.7377049180327868
106,0,2095ps.jpg,4.0,emo,FG,study2,0,2095ps.ias,0.5859375,0.4140625,0.5859375
106,0,H036ps.jpg,3.0,emo,BG,study2,0,H036ps.ias,0.2517985611510791,0.7482014388489209,0.2517985611510791
106,0,People_070ps.jpg,1.0,emo,FG,study2,0,People_070ps.ias,0.6323529411764706,0.36764705882352944,0.6323529411764706
106,0,CompNeu034.jpg,1.0,neu,BG,study2,0,CompNeu034.ias,0.952,0.04800000000000004,0.952
106,0,230ps.jpg,1.0,emo,BG,study2,0,230ps.ias,0.9701492537313433,0.02985074626865669,0.9701492537313433
106,0,H041ps.jpg,3.0,emo,FG,study2,0,H041ps.ias,0.9548872180451128,0.045112781954887216,0.9548872180451128
106,0,CompNeu012.jpg,1.0,neu,FG,study2,0,CompNeu012.ias,0.849624060150376,0.15037593984962405,0.849624060150376
106,0,CompNeu058.jpg,1.0,neu,BG,study2,0,CompNeu058.ias,0.6962962962962963,0.3037037037037037,0.6962962962962963
106,0,Faces_147ps.jpg,5.0,emo,BG,study2,0,Faces_147ps.ias,0.5503875968992248,0.4496124031007752,0.5503875968992248
106,0,Objects_003ps.jpg,3.0,emo,FG,study2,0,Objects_003ps.ias,0.8870967741935484,0.08064516129032262,0.9166666666666666
106,0,H084ps.jpg,1.0,emo,BG,study2,0,H084ps.ias,0.7985611510791367,0.20143884892086328,0.7985611510791367
106,0,CompNeu029.jpg,1.0,neu,BG,study2,0,CompNeu029.ias,0.7874015748031497,0.21259842519685035,0.7874015748031497
106,0,2730ps.jpg,5.0,emo,FG,study2,0,2730ps.ias,0.39416058394160586,0.40145985401459855,0.4954128440366973
106,0,CompNeu019.jpg,1.0,neu,FG,study2,0,CompNeu019.ias,0.5474452554744526,0.45255474452554745,0.5474452554744526
106,0,3500ps.jpg,3.0,emo,BG,study2,0,3500ps.ias,0.25925925925925924,0.7407407407407407,0.25925925925925924
106,0,3230ps.jpg,5.0,emo,FG,study2,0,3230ps.ias,0.7424242424242424,0.25757575757575757,0.7424242424242424
106,0,2691ps.jpg,3.0,emo,BG,study2,0,2691ps.ias,0.4552238805970149,0.4850746268656717,0.4841269841269841
