subject,excluded,img,EmoRating,emotionality,attn,study,bad_trial,IA_name,FG_time,BG_time,FG_propo
0,1,H059ps.jpg,3.0,emo,FV,study1,0,H059ps.ias,,,
0,1,CompNeu031.jpg,1.0,neu,FV,study1,0,CompNeu031.ias,,,
0,1,3101ps.jpg,4.0,emo,FV,study1,0,3101ps.ias,,,
0,1,8230ps.jpg,4.0,emo,FV,study1,0,8230ps.ias,,,
0,1,9415ps.jpg,1.0,emo,FV,study1,0,9415ps.ias,,,
0,1,CompNeu060.jpg,1.0,neu,FV,study1,0,CompNeu060.ias,,,
0,1,6415ps.jpg,5.0,emo,FV,study1,0,6415ps.ias,,,
0,1,CompNeu004.jpg,1.0,neu,FV,study1,0,CompNeu004.ias,,,
0,1,3015ps.jpg,5.0,emo,FV,study1,0,3015ps.ias,,,
0,1,1200ps.jpg,5.0,emo,FV,study1,0,1200ps.ias,,,
0,1,2981ps.jpg,5.0,emo,FV,study1,0,2981ps.ias,,,
0,1,H034ps.jpg,3.0,emo,FV,study1,0,H034ps.ias,,,
0,1,CompNeu054.jpg,1.0,neu,FV,study1,0,CompNeu054.ias,,,
1,0,CompNeu002.jpg,1.0,neu,FV,study1,0,CompNeu002.ias,0.8700564971751412,0.12994350282485878,0.8700564971751412
1,0,H038ps.jpg,5.0,emo,FV,study1,0,H038ps.ias,0.4576271186440678,0.5423728813559322,0.4576271186440678
1,0,MAPS338ps.jpg,2.0,emo,FV,study1,0,MAPS338ps.ias,0.6666666666666666,0.2865497076023392,0.6993865030674846
1,0,3550ps.jpg,3.0,emo,FV,study1,0,3550ps.ias,0.47928994082840237,0.485207100591716,0.4969325153374233
1,0,CompNeu042.jpg,1.0,neu,FV,study1,0,CompNeu042.ias,0.6781609195402298,0.2701149425287357,0.7151515151515151
1,0,1201ps.jpg,1.0,emo,FV,study1,0,1201ps.ias,0.6257309941520468,0.32748538011695905,0.656441717791411
1,0,6243ps.jpg,2.0,emo,FV,study1,0,6243ps.ias,0.632768361581921,0.3615819209039548,0.6363636363636364
1,0,CompNeu056.jpg,1.0,neu,FV,study1,0,CompNeu056.ias,0.8514285714285714,0.14857142857142858,0.8514285714285714
1,0,215ps.jpg,1.0,emo,FV,study1,0,215ps.ias,0.6954022988505747,0.2931034482758621,0.7034883720930233
1,0,2750ps.jpg,2.0,emo,FV,study1,0,2750ps.ias,0.9085714285714286,0.0,1.0
1,0,CompNeu001.jpg,1.0,neu,FV,study1,0,CompNeu001.ias,0.5813953488372093,0.41860465116279066,0.5813953488372093
1,0,3530ps.jpg,3.0,emo,FV,study1,0,3530ps.ias,0.4508670520231214,0.5086705202312138,0.46987951807228917
1,0,CompNeu014.jpg,1.0,neu,FV,study1,0,CompNeu014.ias,0.8563218390804598,0.10344827586206895,0.8922155688622755
1,0,3225ps.jpg,4.0,emo,FV,study1,0,3225ps.ias,0.7309941520467836,0.26900584795321636,0.7309941520467836
1,0,2710ps.jpg,2.0,emo,FV,study1,0,2710ps.ias,0.6045197740112994,0.3502824858757062,0.6331360946745562
1,0,H053ps.jpg,1.0,emo,FV,study1,0,H053ps.ias,0.9022988505747126,0.0977011494252874,0.9022988505747126
1,0,CompNeu020.jpg,1.0,neu,FV,study1,0,CompNeu020.ias,0.3620689655172414,0.3563218390804597,0.504
1,0,2095ps.jpg,3.0,emo,FV,study1,0,2095ps.ias,0.622093023255814,0.33720930232558144,0.6484848484848484
1,0,H036ps.jpg,4.0,emo,FV,study1,0,H036ps.ias,0.12994350282485875,0.6836158192090396,0.1597222222222222
1,0,People_070ps.jpg,2.0,emo,FV,study1,0,People_070ps.ias,0.40350877192982454,0.4152046783625731,0.4928571428571429
1,0,CompNeu034.jpg,1.0,neu,FV,study1,0,CompNeu034.ias,0.7514450867052023,0.1445086705202313,0.8387096774193548
1,0,230ps.jpg,1.0,emo,FV,study1,0,230ps.ias,0.9132947976878613,0.08670520231213874,0.9132947976878613
1,0,H041ps.jpg,4.0,emo,FV,study1,0,H041ps.ias,0.9886363636363636,0.011363636363636354,0.9886363636363636
