subject,excluded,img,EmoRating,emotionality,attn,study,bad_trial,IA_name
105,0,H034ps.jpg,3,emo,FG,study2,0,H034ps.ias
105,0,CompNeu054.jpg,1,neu,BG,study2,0,CompNeu054.ias
106,0,CompNeu002.jpg,1,neu,BG,study2,0,CompNeu002.ias
106,0,H038ps.jpg,5,emo,FG,study2,0,H038ps.ias
106,0,MAPS338ps.jpg,5,emo,FG,study2,0,MAPS338ps.ias
106,0,3550ps.jpg,5,emo,BG,study2,0,3550ps.ias
106,0,CompNeu042.jpg,1,neu,FG,study2,0,CompNeu042.ias
106,0,1201ps.jpg,1,emo,BG,study2,0,1201ps.ias
106,0,6243ps.jpg,2,emo,BG,study2,0,6243ps.ias
106,0,CompNeu056.jpg,1,neu,FG,study2,0,CompNeu056.ias
106,0,215ps.jpg,3,emo,FG,study2,0,215ps.ias
106,0,2750ps.jpg,2,emo,BG,study2,0,2750ps.ias
106,0,CompNeu001.jpg,1,neu,BG,study2,0,CompNeu001.ias
106,0,3530ps.jpg,3,emo,FG,study2,0,3530ps.ias
106,0,CompNeu014.jpg,1,neu,BG,study2,0,CompNeu014.ias
106,0,3225ps.jpg,5,emo,BG,study2,0,3225ps.ias
106,0,2710ps.jpg,,emo,FG,study2,0,2710ps.ias
106,0,H053ps.jpg,1,emo,BG,study2,0,H053ps.ias
106,0,CompNeu020.jpg,,neu,FG,study2,0,CompNeu020.ias
106,0,2095ps.jpg,4,emo,FG,study2,0,2095ps.ias
106,0,H036ps.jpg,3,emo,BG,study2,0,H036ps.ias
106,0,People_070ps.jpg,1,emo,FG,study2,0,People_070ps.ias
106,0,CompNeu034.jpg,1,neu,BG,study2,0,CompNeu034.ias
106,0,230ps.jpg,1,emo,BG,study2,0,230ps.ias
106,0,H041ps.jpg,3,emo,FG,study2,0,H041ps.ias
106,0,CompNeu012.jpg,1,neu,FG,study2,0,CompNeu012.ias
106,0,CompNeu058.jpg,1,neu,BG,study2,0,CompNeu058.ias
106,0,Faces_147ps.jpg,5,emo,BG,study2,0,Faces_147ps.ias
106,0,Objects_003ps.jpg,3,emo,FG,study2,0,Objects_003ps.ias
106,0,H084ps.jpg,1,emo,BG,study2,0,H084ps.ias
106,0,CompNeu029.jpg,1,neu,BG,study2,0,CompNeu029.ias
106,0,2730ps.jpg,5,emo,FG,study2,0,2730ps.ias
106,0,CompNeu019.jpg,1,neu,FG,study2,0,CompNeu019.ias
106,0,3500ps.jpg,3,emo,BG,study2,0,3500ps.ias
106,0,3230ps.jpg,5,emo,FG,study2,0,3230ps.ias
106,0,2691ps.jpg,3,emo,BG,study2,0,2691ps.ias
106,0,CompNeu057.jpg,1,neu,FG,study2,0,CompNeu057.ias
106,0,H034ps.jpg,5,emo,FG,study2,0,H034ps.ias
106,0,2981ps.jpg,5,emo,FG,study2,0,2981ps.ias
106,0,1200ps.jpg,1,emo,BG,study2,0,1200ps.ias
106,0,3015ps.jpg,5,emo,BG,study2,0,3015ps.ias
106,0,CompNeu004.jpg,2,neu,FG,study2,0,CompNeu004.ias
106,0,6415ps.jpg,3,emo,BG,study2,0,6415ps.ias
106,0,CompNeu060.jpg,1,neu,BG,study2,0,CompNeu060.ias
106,0,9415ps.jpg,1,emo,FG,study2,0,9415ps.ias
106,0,8230ps.jpg,3,emo,FG,study2,0,8230ps.ias
106,0,3101ps.jpg,,emo,BG,study2,0,3101ps.ias
106,0,CompNeu031.jpg,1,neu,FG,study2,0,CompNeu031.ias
106,0,H059ps.jpg,,emo,BG,study2,0,H059ps.ias
106,0,Faces_149ps.jpg,5,emo,BG,study2,0,Faces_149ps.ias
106,0,CompNeu050.jpg,2,neu,FG,study2,0,CompNeu050.ias
106,0,CompNeu054.jpg,2,neu,BG,study2,0,CompNeu054.ias
106,0,2700ps.jpg,4,emo,FG,study2,0,2700ps.ias
106,0,9428ps.jpg,1,emo,FG,study2,0,9428ps.ias
106,0,CompNeu026.jpg,1,neu,BG,study2,0,CompNeu026.ias
106,0,214ps.jpg,4,emo,FG,study2,0,214ps.ias
106,0,6836ps.jpg,4,emo,BG,study2,0,6836ps.ias
106,0,CompNeu017.jpg,1,neu,FG,study2,0,CompNeu017.ias
